ru-59
#MeToo	# MeToo	EVT	EVT_5001
ТАСС	ТАСС	ORG	ORG_494
Твиттере	Твиттер	ORG	ORG_2553
Тед Круз	Тед Круз	PER	PER_3395
Теда Круза	Тед Круз	PER	PER_3395
Техас	Техас	LOC	LOC_1022
Техасе	Техас	LOC	LOC_1022
Тони Эверс	Тони Эверс	PER	PER_4994
Трамп	Трамп	PER	PER_977
Трампа	Трамп	PER	PER_70
Трампе	трампа	PER	PER_977
Трампу	трампа	PER	PER_977
Уолкера Степлтона	уолкер Степлтон	PER	PER_5008
Флориде	Флорида	LOC	LOC_894
Харли Роуда	Харли Роуд	PER	PER_4986
Хоф	хоф	PER	PER_4990
Энтони Зуркер	Энтони Зуркер	PER	PER_4746
Юта	Юта	LOC	LOC_524
ассамблею Невады	ассамблея Невада	ORG	ORG_4991
демократам	демократ	ORG	ORG_3320
демократов	демократ	PER	PER_2172
демократы	демократ	PER	PER_2172
комитета Совета Федерации по международным делам	комитет Совет Федерация по международный дело	ORG	ORG_4124
мормон	мормон	PER	PER_4997
нижнюю палату законодательного собрания штата Невада	нижний палата законодательный собрание штат Невада	ORG	ORG_4988
палаты представителей Конгресса	палата представитель Конгресс	ORG	ORG_4061
республиканцев	республиканец	PER	PER_1985
республиканцы	республиканец	PER	PER_1985
техасцев	техасец	PER	PER_4993
